x,y,z
-61.5755,58.5459,24.7011
-61.5755,56.4919,24.8994
-61.5755,58.5137,25.4392
-61.5755,62.6344,25.3714
-63.6482,62.5811,24.6348
-63.6482,64.6279,24.7661
-63.6482,58.5459,24.7011
-63.6482,56.4919,24.8994
-63.6482,58.5137,25.4392
-63.6482,62.6344,25.3714
-41.0655,59.0633,25.1036
-63.6482,60.5716,25.1047
-37.0595,59.0956,25.0975
-37.0595,59.1924,24.9739
-34.2095,59.1924,24.9739
-34.2095,59.0956,25.0975
-37.0595,59.3792,24.9776
-34.2095,59.3792,24.9776
-37.0595,59.4732,25.1049
-34.2095,59.4732,25.1049
-37.0595,59.3782,25.2321
-34.2095,59.3782,25.2321
-37.0595,59.1874,25.2284
-34.2095,59.1874,25.2284
-31.3595,59.1924,24.9739
-31.3595,59.0956,25.0975
-31.3595,59.3792,24.9776
-31.3595,59.4732,25.1049
-31.3595,59.3782,25.2321
-31.3595,59.1874,25.2284
-28.5094,59.1924,24.9739
-28.5094,59.0956,25.0975
-28.5094,59.3792,24.9776
-28.5094,59.4732,25.1049
-28.5094,59.3782,25.2321
-28.5094,59.1874,25.2284
-25.6594,59.1924,24.9739
-25.6594,59.0956,25.0975
-25.6594,59.3792,24.9776
-25.6594,59.4732,25.1049
-25.6594,59.3782,25.2321
-25.6594,59.1874,25.2284
-22.8094,59.1924,24.9739
-22.8094,59.0956,25.0975
-22.8094,59.3792,24.9776
-22.8094,59.4732,25.1049
-22.8094,59.3782,25.2321
-22.8094,59.1874,25.2284
-22.7678,55.7665,24.6348
-22.7678,53.7197,24.7661
-22.7678,59.8018,24.7011
-22.7678,61.8558,24.8994
-22.7678,59.834,25.4392
-22.7678,55.7133,25.3714
-20.695,55.7665,24.6348
-20.695,53.7197,24.7661
-20.695,59.8018,24.7011
-20.695,61.8558,24.8994
-20.695,59.834,25.4392
-20.695,55.7133,25.3714
-18.6223,55.7665,24.6348
-18.6223,53.7197,24.7661
-18.6223,59.8018,24.7011
-18.6223,61.8558,24.8994
-18.6223,59.834,25.4392
-18.6223,55.7133,25.3714
-16.5495,55.7665,24.6348
